,NSP,RS,Sugars,Acetate,H2,CO2,Formate,H2O
Rtype,S,S,S,P,X,X,X,X
halfSat,0.001,0.001,0.001,NA,NA,NA,NA,NA
yield,0.286,0.333,0.333,NA,NA,NA,NA,NA
maxGrowthRate,7.2,7.2,24,NA,NA,NA,NA,NA
stoichiom,1,1,1,3,NA,NA,NA,NA
keyResource,Hex,,,,,,,
numPathways,3,,,,,,,
Rtype.2,X,X,X,P,Se,Se,X,P
halfSat.2,NA,NA,NA,NA,0.001,0.001,NA,NA
yield.2,NA,NA,NA,NA,NA,0.03,NA,NA
maxGrowthRate.2,NA,NA,NA,NA,NA,2.4,NA,NA
stoichiom.2,NA,NA,NA,1,4,2,NA,2
keyResource.2,CO2,,,,,,,
Rtype.3,S,S,S,P,P,P,Se,X
halfSat.3,0.001,0.001,0.001,NA,NA,NA,0.001,NA
yield.3,0.286,0.333,0.333,NA,NA,NA,NA,NA
maxGrowthRate.3,7.2,7.2,24,NA,NA,NA,NA,NA
stoichiom.3,1,1,1,3,2,2,2,NA
keyResource.3,Hex,,,,,,,
pHcorners,5.25,6,7.5,8.25,,,,
